dietary_pattern_name,calorie_level,food_group_name,food_subgroup_name,component_name,amount_value,amount_unit,frequency,notes
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Vegetables,,Vegetables,"⅔",cup eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Vegetables,Dark-Green Vegetables,Dark-Green Vegetables,1,cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Vegetables,Red and Orange Vegetables,Red and Orange Vegetables,1,cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Vegetables,"Beans, Peas, Lentils (Veg)","Beans, Peas, Lentils (Veg)","¾",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Vegetables,Starchy Vegetables,Starchy Vegetables,1,cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Vegetables,Other Vegetables,Other Vegetables,"¾",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Fruits,,Fruits,"½",cup eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Grains,,Grains,"1 ¾",ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Grains,Whole Grains,Whole Grains,"1 ½",ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Grains,Refined Grains,Refined Grains,"¼",ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Dairy,,Dairy,"1 ⅔",cup eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,"Protein Foods",,"Protein Foods",2,ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,"Protein Foods","Meats, Poultry","Meats, Poultry","8 ¾",ounce eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,"Protein Foods",Eggs,Eggs,2,ounce eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,"Protein Foods",Seafood,Seafood,"2-3",ounce eq,wk,Footnote e
Healthy U.S.-Style Dietary Pattern for Toddlers,700,"Protein Foods","Nuts, Seeds, Soy Products","Nuts, Seeds, Soy Products",1,ounce eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,700,Oils,,,Oils,9,grams,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Vegetables,,Vegetables,"¾",cup eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Vegetables,Dark-Green Vegetables,Dark-Green Vegetables,"⅓",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Vegetables,Red and Orange Vegetables,Red and Orange Vegetables,"1 ¾",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Vegetables,"Beans, Peas, Lentils (Veg)","Beans, Peas, Lentils (Veg)","⅓",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Vegetables,Starchy Vegetables,Starchy Vegetables,"1 ½",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Vegetables,Other Vegetables,Other Vegetables,"1 ¼",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Fruits,,Fruits,"¾",cup eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Grains,,Grains,"2 ¼",ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Grains,Whole Grains,Whole Grains,2,ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Grains,Refined Grains,Refined Grains,"¼",ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Dairy,,Dairy,"1 ¾",cup eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,"Protein Foods",,"Protein Foods",2,ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,"Protein Foods","Meats, Poultry","Meats, Poultry",7,ounce eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,"Protein Foods",Eggs,Eggs,"2 ¾",ounce eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,"Protein Foods",Seafood,Seafood,"2-3",ounce eq,wk,Footnote e
Healthy U.S.-Style Dietary Pattern for Toddlers,800,"Protein Foods","Nuts, Seeds, Soy Products","Nuts, Seeds, Soy Products",1,ounce eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,800,Oils,,,Oils,9,grams,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Vegetables,,Vegetables,1,cup eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Vegetables,Dark-Green Vegetables,Dark-Green Vegetables,"½",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Vegetables,Red and Orange Vegetables,Red and Orange Vegetables,"2 ½",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Vegetables,"Beans, Peas, Lentils (Veg)","Beans, Peas, Lentils (Veg)","½",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Vegetables,Starchy Vegetables,Starchy Vegetables,2,cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Vegetables,Other Vegetables,Other Vegetables,"1 ½",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Fruits,,Fruits,1,cup eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Grains,,Grains,"2 ½",ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Grains,Whole Grains,Whole Grains,2,ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Grains,Refined Grains,Refined Grains,"½",ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Dairy,,Dairy,2,cup eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,"Protein Foods",,"Protein Foods",2,ounce eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,"Protein Foods","Meats, Poultry","Meats, Poultry",7,ounce eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,"Protein Foods",Eggs,Eggs,"2 ¼",ounce eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,"Protein Foods",Seafood,Seafood,"2-3",ounce eq,wk,Footnote e
Healthy U.S.-Style Dietary Pattern for Toddlers,900,"Protein Foods","Nuts, Seeds, Soy Products","Nuts, Seeds, Soy Products","1 ¼",ounce eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,900,Oils,,,Oils,8,grams,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,1000,Vegetables,,Vegetables,1,cup eq,day,
Healthy U.S.-Style Dietary Pattern for Toddlers,1000,Vegetables,Dark-Green Vegetables,Dark-Green Vegetables,"½",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,1000,Vegetables,Red and Orange Vegetables,Red and Orange Vegetables,"2 ½",cup eq,wk,
Healthy U.S.-Style Dietary Pattern for Toddlers,1000,Vegetables,"Beans, Peas, Lentils (Veg)","Beans, Peas, Lentils (Veg)","½",cup eq,wk,
