```csv
nutrient_identifier,life_stage_name,dri_type,value_numeric,value_string,unit,source_of_goal,criterion,footnote_marker,notes,source_document
PROCNT,"Infants 7-12 months",RDA,11,,g,RDA,,,"Disclosure a: Reflects DRIs for 7-12mo or 6-12mo applied to 6-11mo. Original source: IOM DRIs Essential Guide 2006",DGA App1 T A1-1
CHOCDF,"Infants 7-12 months",AI,95,,g,AI,,,"Disclosure a",DGA App1 T A1-1
FIBTG,"Infants 7-12 months",AI,,,g,AI,,d,"n/a for this age group. Disclosure a",DGA App1 T A1-1
FAT,"Infants 7-12 months",AMDR_perc_range,,,g,AMDR,,d,"n/a for this age group. Disclosure a",DGA App1 T A1-1
FALINOLEIC,"Infants 7-12 months",AI,4.6,,g,AI,,,"Disclosure a",DGA App1 T A1-1
FAALALIN,"Infants 7-12 months",AI,0.5,,g,AI,,,"Disclosure a",DGA App1 T A1-1
CA,"Infants 7-12 months",AI,260,,mg,AI,,,"Disclosure a. Original source: IOM DRIs Ca/VitD 2011",DGA App1 T A1-1
FE,"Infants 7-12 months",RDA,11,,mg,RDA,,,"Disclosure a",DGA App1 T A1-1
MG,"Infants 7-12 months",AI,75,,mg,AI,,,"Disclosure a",DGA App1 T A1-1
P,"Infants 7-12 months",AI,275,,mg,AI,,,"Disclosure a",DGA App1 T A1-1
K,"Infants 7-12 months",AI,860,,mg,AI,,,"Disclosure a. Original source: NASEM DRIs Na/K 2019",DGA App1 T A1-1
NA,"Infants 7-12 months",AI,370,,mg,AI,,,"Disclosure a. Original source: NASEM DRIs Na/K 2019",DGA App1 T A1-1
ZN,"Infants 7-12 months",RDA,3,,mg,RDA,,,"Disclosure a",DGA App1 T A1-1
VITA_RAE,"Infants 7-12 months",AI,500,,mcg RAE,AI,,c,"Disclosure a",DGA App1 T A1-1
VITE_AT,"Infants 7-12 months",AI,5,,mg AT,AI,,c,"Disclosure a",DGA App1 T A1-1
VITD_IU,"Infants 7-12 months",AI,400,,IU,AI,,c,"Disclosure a. Original source: IOM DRIs Ca/VitD 2011",DGA App1 T A1-1
